descrip1art,codbarras,principio_activo,concentracion,forma_farmaceutica,blister,origen,generico,fabricante,cantidad_presentacion,usuario,status,usuario_root,status2,PA_Alter_FF,PA_Alter_CON,LastUpdated,timestamp2,timestamp1,principio_activo_Des,concentracion_Des,forma_farmaceutica_Des,origen_Des,fabricante_Des,principio_activo_Score,concentracion_Score,forma_farmaceutica_Score,blister_Score,origen_Score,generico_Score,fabricante_Score,cantidad_presentacion_Score,Score_Final,blister_Des,generico_Des,cantidad_presentacion_Des,patrocinador,patrocinador_Des,patrocinador_Score,origen_dato,codigo_atc,indicaciones,contraindicaciones,almacenamiento,requiere_recipe,marca,marca_Des,marca_Score,contenido_neto,contenido_neto_Des,contenido_neto_Score,codigo_atc_Des,codigo_atc_Score,requiere_recipe_Des,requiere_recipe_Score,segmento_etario,segmento_etario_Des,segmento_etario_Score,es_medicamento,es_medicamento_Score,url_imagen,clasificacion_insumo_Des,elasticidad_demanda,elasticidad_demanda_Des
Jabón neutro Palmolive de 100g,7509546075013,,,,,,,,1,,True,,,,,,,,,,Jabón,,,,,,,,,,,,0,,100g,,,,IA_FULL_ATTR_V1,,,,,False,,Palmolive,,,100g,,,,,,ADULTO,,,False,,,Higiene Personal,,
Palmolive Naturals Acondicionador Coco y Leche 390ml,7509546078885,,,,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Solución,,,,,,,,,,,,,,390ml,,,,IA_FULL_ATTR_V1,,,,,,,Palmolive Naturals,,,390ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
SH PALMOLIVE OPT KRATIN 10ML SOBRES,7509546650098,,,112,,,,,1,,True,,,,,,,,,,Sobre,,,,,,,,,,,,0,,10ML,,,,IA_FULL_ATTR_V1,,,,,False,,PALMOLIVE,,,10ML,,,,,,ADULTO,,,False,,,Higiene Personal,,
Colgate Luminous White Carbón Activado 75ml,7509546651019,,,,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Crema,,,,,,,,,,,,,,75ml,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,75ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Suavizante de ropa Suavitel Fresca Vainilla 1.9L,7509546651316,,,,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Solución,,,,,,,,,,,,,,1.9L,,,,IA_FULL_ATTR_V1,,,,,,,Suavitel,,,1.9L,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate Sensitive Pro-Alivio Crema Dental 140g,7509546653402,,,62,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Crema,,,,,,,,,,,,,,140g,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,140g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate Total Antisarro 150ml,7509546653518,,,,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Crema,,,,,,,,,,,,,,150ml,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,150ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate Total 12 Anti-Sarro 75ml,7509546653532,,,,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Crema,,,,,,,,,,,,,,75ml,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,75ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Jabón Palmolive Baby de 90g.,7509546655079,,,,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Barra,,,,,,,,,,,,,,90g,,,,IA_FULL_ATTR_V1,,,,,,,Palmolive Baby,,,90g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
PALMOLIVE JABÓN LÍQUIDO PARA MANOS CON CREMA Y ACEITE DE OLIVA 221ML,7509546657035,,,62,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Solución,,,,,,,,,,,,,,221ML,,,,IA_FULL_ATTR_V1,,,,,,,PALMOLIVE,,,221ML,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Cepillo dental Colgate Zig Zag Charcoal,7509546658223,,,,,,,,1,,True,,,,,2025-12-10 20:30:00.713333,,,,,,,,,,,,,,,,,0,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,False,,Colgate,,,,,,,,,ADULTO,,,False,,,Higiene Personal,,
Colgate Carbon MTA 140g,7509546660073,,,,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Crema,,,,,,,,,,,,,,140g,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,140g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Speed Stick Clinical Dry Crema Desodorante 70g,7509546665214,,,62,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Crema,,,,,,,,,,,,,,70g,,,,IA_FULL_ATTR_V1,,,,,,,Speed Stick Clinical Dry,,,70g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Desodorante Lady Speed Stick Clinical en crema 70g,7509546665221,,,62,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Crema,,,,,,,,,,,,,,70g,,,,IA_FULL_ATTR_V1,,,,,,,Lady Speed Stick Clinical,,,70g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate Enjuague Bucal T12 Refrescante 250ml,7509546666969,,,,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Solución,,,,,,,,,,,,,,250ml,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,250ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate Luminous White con carbón activado 250 ml,7509546666976,,,,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Crema,,,,,,,,,,,,,,250 ml,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,250 ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
"Colgate Luminous White, crema dental blanqueadora.",7509546667577,,,62,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Crema,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate CD Encias Therapy x2,7509546667744,,,,,,,,2,,,,,,,2026-06-19 16:27:45.753333,,,,,Crema,,,,,,,,,,,,,,2 unidades,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate Sensitive Pro-Alivio 140g,7509546672298,,,,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Crema,,,,,,,,,,,,,,140g,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,140g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Palmolive Neutro Balance Desodorante en barra 50g,7509546672779,,,,,,,,1,,,,,,,2026-06-19 16:27:45.753333,,,,,Barra,,,,,,,,,,,,,,50g,,,,IA_FULL_ATTR_V1,,,,,,,Palmolive Neutro Balance,,,50g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate CD ZZ Carbón x2,7509546673042,,,,,,,,2,,,,,,,2026-06-19 16:27:45.753333,,,,,Crema,,,,,,,,,,,,,,2 unidades,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Jabón Palmolive Oliva y Aloe Vera 110g,7509546676982,2238,,,,,,,1,,True,,,,,,,,Oliva y Aloe Vera,,Jabón,,,,,,,,,,,,0,,110g,,,,IA_FULL_ATTR_V1,,,,,False,,Palmolive,,,110g,,,,,,ADULTO,,,False,,,Higiene Personal,,
Jabón Palmolive Avena y Azúcar 110g,7509546677019,,,,,,,,1,,True,,,,,,,,Avena y Azúcar,,Jabón,,,,,,,,,,,,0,,110g,,,,IA_FULL_ATTR_V1,,,,,False,,Palmolive,,,110g,,,,,,ADULTO,,,False,,,Higiene Personal,,
"Jabón Palmolive Naturals Oliva y Aloe Vera, pack de 3 unidades.",7509546677026,2238,,,,,,,3,,,,,,,2026-06-19 16:27:45.756666,,,,,Barra,,,,,,,,,,,,,,3 unidades,,,,IA_FULL_ATTR_V1,,,,,,,Palmolive Naturals,,,,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Jabón Palmolive Avena y Azúcar 3x110g,7509546677040,,,,,,,,3,,,,,,,2026-06-19 16:27:45.756666,,,,,Barra,,,,,,,,,,,,,,3 barras,,,,IA_FULL_ATTR_V1,,,,,,,Palmolive,,,3x110g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Jabón Palmolive Granada 110g x 3 unidades,7509546677057,,,,,,,,3,,,,,,,2026-06-19 16:27:45.756666,,,,,Barra,,,,,,,,,,,,,,3 unidades,,,,IA_FULL_ATTR_V1,,,,,,,Palmolive,,,110g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Enjuague bucal Colgate Plax Odor Control 250 ml,7509546679525,,,,,,,,1,,True,,,,,2025-04-07 20:30:00.186666,,,,,Solución,,,,,,,,,,,,0,,250 ml,,,,IA_FULL_ATTR_V1,,,,,False,,Colgate Plax,,,250 ml,,,,,,ADULTO,,,False,,,Higiene Personal,,
Colgate Plax Odor Control 500ml,7509546679532,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Solución,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Colgate Plax,,,500ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Fabuloso Desinfectante Lavanda 1L,7509546680217,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Líquido,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Fabuloso,,,1L,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Fabuloso Ultra Frescura Lavanda 2L,7509546680408,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Líquido,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Fabuloso,,,2L,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Fabuloso Desinfectante Lavanda 500 ml,7509546680415,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Líquido,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Fabuloso,,,500 ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
BRISOL LV Líquido de acción múltiple 825,7509546680637,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Líquido,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,BRISOL LV,,,,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Protex Carbon Jabón Antibacterial 110g x 3 unidades,7509546680644,,,,,,,,3,,,,,,,2026-06-19 16:27:45.756666,,,,,Barra,,,,,,,,,,,,,,3 unidades,,,,IA_FULL_ATTR_V1,,,,,,,Protex,,,110g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate Triple Acción Menta 60ml,7509546685182,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Pasta,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,60ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
"Suavizante de ropa para bebé, 1 litro.",7509546686875,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Líquido,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,,,,1 litro,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate Sensitive Pro-Alivio Duplo,7509546686929,,,,,,,,2,,,,,,,2026-06-19 16:27:45.756666,,,,,Pasta,,,,,,,,,,,,,,2 unidades,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate Max Fresh 90ml,7509546687261,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Pasta,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,90ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Speed Stick Desodorante en aerosol 150 ml,7509546688206,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Aerosol,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Speed Stick,,,150 ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
"Desodorante Lady Speed Stick en aerosol, 150 ml",7509546688220,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Aerosol,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Lady Speed Stick,,,150 ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Desodorante Lady Speed Stick Carbon Absorb en barra de 45g,7509546688596,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Barra,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Lady Speed Stick,,,45g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Fabuloso Limpiador Líquido Naranja 1L,7509546688770,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Líquido,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Fabuloso,,,1L,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Jabón de manos Palmolive Naturals Frescura Nutritiva Mandarina y Romero 110g x 3 unidades,7509546690254,,,,,,,,3,,True,,,,,2025-04-07 20:30:00.186666,,,Mandarina y Romero,,Jabón,,,,,,,,,,,,0,,3 unidades,,,,IA_FULL_ATTR_V1,,,,,False,,Palmolive Naturals,,,110g,,,,,,ADULTO,,,False,,,Higiene Personal,,
JABON PALMOLIVE MANDARINA 110G,7509546690261,,,,,,,,1,,True,,,,,2025-07-30 20:30:00.653333,,,MANDARINA,,Jabón,,,,,,,,,,,,0,,110G,,,,IA_FULL_ATTR_V1,,,,,False,,PALMOLIVE,,,110G,,,,,,ADULTO,,,False,,,Higiene Personal,,
Colgate Triple Acción Xtra Blanco 150ml,7509546690919,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Pasta,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,150ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Palmolive Opt. Ch. Ac. Hl. 400ml,7509546691367,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Champú,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Palmolive,,,400ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate Luminous White 61ml,7509546692371,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Pasta,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,61ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
PALMOLIVE JABÓN NATURAL BALANCE 100G X 3,7509546693347,,,,,,,,3,,,,,,,2026-06-19 16:27:45.756666,,,,,Barra,,,,,,,,,,,,,,3 unidades,,,,IA_FULL_ATTR_V1,,,,,,,Palmolive,,,100G,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate Cepillo Dental Pro-Cuidado Carbón x2 unidades,7509546694986,,,,,,,,2,,,,,,,2026-06-19 16:27:45.760000,,,,,,,,,,,,,,,,,,,2 unidades,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate Total Prevención Activa Blanqueadora 150ml,7509546697970,,,,,,,,1,,,,,,,2026-06-19 16:27:45.760000,,,,,Pasta,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,150ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Colgate Total White 75ml,7509546698007,,,,,,,,1,,,,,,,2026-06-19 16:27:45.760000,,,,,Pasta,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Colgate,,,75ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Suavitel Fresca Primavera 750 ml,7509546702179,,,,,,,,1,,,,,,,2026-06-19 16:27:45.760000,,,,,Líquido,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Suavitel,,,750 ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Suavitel Baby 750ml,7509546702186,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,Líquido,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Suavitel,,,750ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
KETOCONAZOL SHAMPO AL 2%  SAN LORENZO,7510111611199,654,433,59,,,,,1,,True,,,"CREMA(5), JARABE(15), OVULO(18), SOL CAP(22), SPR TOP(25), TAB(27)","0.2%(82), 1 MG/20 MG(164), 2 G(411), 20 MG(457), 200 MG(474), 400 MG(664)",,,,KETOCONAZOL,2%,Champú,BRASIL,SAN LORENZO,,,,,,,,,,0,0,1 unidad,,,,IA_FULL_ATTR_V1,D01AC08,"El ketoconazol es un antifúngico indicado para el tratamiento de infecciones causadas por hongos, como la dermatitis seborreica, la caspa, la candidiasis oral o vaginal, o infecciones pulmonares como","El ketoconazol es un antifúngico indicado para el tratamiento de infecciones causadas por hongos, como la dermatitis seborreica, la caspa, la candidiasis oral o vaginal, o infecciones pulmonares como",,True,,SAN LORENZO,,,,,,,False,,ADULTO,ADULTO,,True,,,Medicamento,,
HIDROCORTISONA 1% CREMA 15 G  BALAXI,75321,585,171,5,,,,,1,,True,,,"CREMA(5), INYECTA(14)","0.5 G(111), 1 G(136), 1 G/500 MG(148), 100 MG(253), 127 MG(336), 500 MG(775)",2024-08-26 20:30:01.196666,,,HIDROCORTISONA,1%,Crema,,No especificado,,,,,,,,,,0,0,15 G,,,,IA_FULL_ATTR_V1,D07AA02,,,,True,,BALAXI,,26,15 G,,,,False,,ADULTO,,,True,,,Medicamento,,
"Cepillo dental infantil Dorco, 1 unidad.",7543498456469,,,,,,,,1,,,,,,,2026-06-19 16:27:45.756666,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Dorco,,,,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Vaselym con manzanilla crema 100g,7557956322012,728,,62,,,,,1,,,,,,,2026-06-19 16:27:45.760000,,,,,Crema,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Vaselym,,,100g,,,,,,NO_DEFINIDO,,,False,,,Cosmético,,
Bisoprolol 5 mg 30 tabletas,75591519009156,,,,,,,,30,,,,,,,2026-06-19 20:43:46.746666,,,Bisoprolol,5 mg,Tableta,,,,,,,,,,,,,,30 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
"Ácido Valproico 500mg, caja con 14 tabletas, Lattan",756029628236,42,775,27,,,,1275,14,,True,,,,,2025-01-14 20:30:00.190000,,,Ácido Valproico,500mg,Tableta,,No especificado,,,,,,,,,,0,1,14 tabletas,,,,IA_FULL_ATTR_V1,N03AG01,,,,True,,Lattan,,141,,,,,True,,ADULTO,,,True,,,Medicamento,,
Gabapentina 300 mg x 14 cápsulas/tabletas Lattan Medic,756029628243,537,580,123,,,,1275,14,Jasmibel Perez,True,,False,,,2024-10-05 18:54:59.820000,,2024-08-22 15:06:00,Gabapentina,300 mg,Cápsula,,LATTAN,,,,,,,,,,1,1,14 cápsulas/tabletas,,,,IA_FULL_ATTR_V1,,,,,,,Lattan Medic,,,,,N03AX12,,True,,NO_DEFINIDO,Adultos,,True,,,Medicamento,,
Pregabalina 75 mg x 14 cápsulas Lattan Medic,756029628250,899,904,123,,,,1275,14,jose antonio garcia pablo,True,,False,,,2024-10-05 18:57:45.886666,,2024-08-16 12:11:00,Pregabalina,75 mg,Cápsula,,LATTAN,,,,,,,,,,1,1,14 cápsulas,,,,IA_FULL_ATTR_V1,,,,,,,Lattan Medic,,,,,N03AX16,,True,,NO_DEFINIDO,Adulto,,True,,,Medicamento,,
VENLAFAXINA XR 75 MG X 14 CÁPSULAS LATTAN MEDIC,756029628267,1067,,68,,,,,14,,,,,,,2026-06-19 16:27:45.760000,,,Venlafaxina,75 mg,Cápsula,,,,,,,,,,,,,,14 cápsulas,,,,IA_FULL_ATTR_V1,,,,,,,LATTAN MEDIC,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Carbamazepina 200 mg x 30 tabletas Lattan Medic,756029628274,240,,27,,,,,30,,,,,,,2026-06-19 16:27:45.760000,,,Carbamazepina,200 mg,Tableta,,,,,,,,,,,,,,30 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,Lattan Medic,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
"Ibuprofeno 400mg + Tiocolchicósido 4mg, 14 tabletas (Lattan Medic)",756029628281,610,,27,,,,,14,,,,,,,2026-06-19 16:27:45.760000,,,Ibuprofeno + Tiocolchicósido,400mg + 4mg,Tableta,,,,,,,,,,,,,,14 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,Lattan Medic,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
DICLOFENAC POTASICO 100MG X 10 COMPRIMIDOS,756029628298,405,,88,,,,,10,,,,,,,2026-06-19 16:27:45.760000,,,Diclofenac Potásico,100mg,Comprimido,,,,,,,,,,,,,,10 comprimidos,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
"Butilbromuro de Hioscina 10mg, 10 comprimidos.",756029628304,605,,27,,,,,10,,True,,,"GOTAS(10), INYECTA(14), TAB(27)","10 MG(213), 20 MG(457), 5 MG(718)",2024-09-17 20:30:00.650000,,,Butilbromuro de Hioscina,10mg,Comprimido,,No especificado,,,,,,,,,,0,0,10 comprimidos,,,,IA_FULL_ATTR_V1,A03BB01,,,,True,,,,,,,,,False,,ADULTO,,,True,,,Medicamento,,
Butilatt Fem (Ibuprofeno 200mg + Hioscina 10mg) x 10 tabletas Lattan Medic,756029628311,423,,27,,,,1275,10,ariany cabello antuare,True,,False,,,2024-10-05 18:54:52.670000,,2024-08-16 16:05:00,Ibuprofeno + Hioscina,200mg + 10mg,Tableta,,LATTAN,,,,,,,,,,1,0,10 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,Butilatt Fem,,,,,,,False,,NO_DEFINIDO,Femenino,,True,,,Medicamento,,
Butilatt Plus (Acetaminofén 500mg + N-Butilbromuro de Hioscina 10mg) x 10 tabletas,756029628328,605,1020,27,,,,1275,10,ariany cabello antuare,True,,False,,,2024-10-05 18:54:52.686666,,2024-08-16 16:05:00,Acetaminofén + N-Butilbromuro de Hioscina,500mg + 10mg,Tableta,N/A,LATTAN,,,,,,,,,,1,0,10 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,Butilatt Plus,,117,,,A03AA07,,True,,NO_DEFINIDO,Adultos,,True,,N/A,Medicamento,,
"LATTFLON (Diosmina 450 mg, Hesperidina 50 mg) x 30 tabletas Lattan Medic",756029628335,422,,27,,,,,30,,True,,,,,2025-10-28 20:30:00.203333,,,"Diosmina, Hesperidina","450 mg, 50 mg",Tableta,,LATTAN,,,,,,,,,,0,0,30 tabletas,,,,IA_FULL_ATTR_V1,C05CA51,,,,True,,LATTFLON,,,,,,,False,,ADULTO,,,True,,,Medicamento,,
"Nebivolol 5 mg, 30 tabletas",756029628342,783,,27,,,,,30,,,,,,,2026-06-19 16:27:45.760000,,,Nebivolol,5 mg,Tableta,,,,,,,,,,,,,,30 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Trangolatt 200mg (Amiodarona) x 10 tabletas Lattan Medic,756029628359,,,,,,,,10,,,,,,,2026-06-19 20:43:46.746666,,,Amiodarona,200mg,Tableta,,,,,,,,,,,,,,10 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,Trangolatt (Lattan Medic),,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
"Nifedipino 30 mg liberación prolongada, 30 comprimidos",756029628366,790,571,127,,,,1275,30,ariany cabello antuare,True,,False,,,2024-10-05 18:57:45.540000,,2024-08-10 20:08:00,Nifedipino,30 mg,Comprimido,,LATTAN,,,,,,,,,,1,0,30 comprimidos,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,C08CA05,,True,,NO_DEFINIDO,ADULTOS,,True,,,Medicamento,,
Nifedipina 20mg/ml gotas solución oral 20ml Lattan Medic,756029628373,790,,80,,,,,1,,,,,,,2026-06-19 16:27:45.760000,,,Nifedipina,20mg/ml,Gotas,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Lattan Medic,,,20ml,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Butilatt 5mg/5ml solución oral en gotas (Butilbromuro de Hioscina) x 20ml Lattan Medic,756029628380,605,,80,,,,,1,,,,,,,2026-06-19 16:27:45.760000,,,Butilbromuro de Hioscina,5mg/5ml,Gotas,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Butilatt (Lattan Medic),,,20ml,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Aciclovir 1000 mg x 10 tabletas Lattan Medic,756029628397,79,,27,,,,,10,,,,,,,2026-06-19 16:27:45.760000,,,Aciclovir,1000 mg,Tableta,,,,,,,,,,,,,,10 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,Lattan Medic,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Metformina LP 500 mg x 30 tabletas (Lattan Medic),756029628410,742,,27,,,,,30,,,,,,,2026-06-19 16:27:45.760000,,,Metformina,500 mg,Tableta,,,,,,,,,,,,,,30 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,Lattan Medic,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Metformina L.P. 850 mg x 30 comprimidos,756029628427,742,,88,,,,,30,,,,,,,2026-06-19 16:27:45.760000,,,Metformina,850 mg,Comprimido,,,,,,,,,,,,,,30 comprimidos,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Metformina LP 1000 mg x 30 tabletas Lattan Medic,756029628434,742,,27,,,,,30,,,,,,,2026-06-19 16:27:45.760000,,,Metformina,1000 mg,Tableta,,,,,,,,,,,,,,30 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,Lattan Medic,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Nifedipina LP 20mg x 30 comprimidos Lattan Medic,756029628441,790,,88,,,,,30,,,,,,,2026-06-19 16:27:45.760000,,,Nifedipina,20mg,Comprimido,,,,,,,,,,,,,,30 comprimidos,,,,IA_FULL_ATTR_V1,,,,,,,Lattan Medic,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Ceftriaxona 1g inyectable (IM/IV) Global Medic,756058829932,270,,,,,,,1,,,,,,,2026-06-19 16:27:45.760000,,,Ceftriaxona,1g,Inyectable,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Global Medic,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
